customerid,recency,frequency,monetary,R_score,F_score,M_score,RFM_score,segment,cluster_id,country,first_purchase_date,last_purchase_date,PCA1,PCA2,business_segment,action_category,segment_description
14646,2,73,280206.02,5,4,5,545,Champions,3,Netherlands,2010-12-20 10:09:00,2011-12-08 12:12:00,6.544144884538449,1.568423427169958,High-Value Engaged,Protect & Grow,"Customers with very recent purchasing activity, high purchase frequency, and the highest monetary contribution."
18102,1,60,259657.3,5,4,5,545,Champions,3,United Kingdom,2010-12-07 16:42:00,2011-12-09 11:50:00,6.488107840037904,1.2097464983969854,High-Value Engaged,Protect & Grow,"Customers with very recent purchasing activity, high purchase frequency, and the highest monetary contribution."
17450,8,46,194390.79,5,4,5,545,Champions,3,United Kingdom,2010-12-07 09:23:00,2011-12-01 13:29:00,5.540368556722589,1.9580683722313823,High-Value Engaged,Protect & Grow,"Customers with very recent purchasing activity, high purchase frequency, and the highest monetary contribution."
16446,1,2,168472.5,5,1,5,515,Recent Customers,3,United Kingdom,2011-05-18 09:52:00,2011-12-09 09:15:00,3.557315938127811,-0.1000534977234222,High-Value Engaged,Protect & Grow,"Customers with very recent purchasing activity, high purchase frequency, and the highest monetary contribution."
14911,1,201,143711.17,5,4,5,545,Champions,3,EIRE,2010-12-01 14:05:00,2011-12-08 15:54:00,7.291094114977411,1.452326762874372,High-Value Engaged,Protect & Grow,"Customers with very recent purchasing activity, high purchase frequency, and the highest monetary contribution."
12415,24,21,124914.53,4,4,5,445,Champions,3,Australia,2011-01-06 11:12:00,2011-11-15 14:22:00,4.2535256532742505,2.1542921002106183,High-Value Engaged,Protect & Grow,"Customers with very recent purchasing activity, high purchase frequency, and the highest monetary contribution."
14156,10,55,117210.08,5,4,5,545,Champions,3,EIRE,2010-12-03 11:48:00,2011-11-30 10:54:00,5.382373149887797,1.9680490716934245,High-Value Engaged,Protect & Grow,"Customers with very recent purchasing activity, high purchase frequency, and the highest monetary contribution."
17511,3,31,91062.38,5,4,5,545,Champions,3,United Kingdom,2010-12-01 10:19:00,2011-12-07 10:12:00,5.142741544308017,1.0207621618006395,High-Value Engaged,Protect & Grow,"Customers with very recent purchasing activity, high purchase frequency, and the highest monetary contribution."
16029,39,63,80850.84,3,4,5,345,Loyal Customers,3,United Kingdom,2010-12-01 09:57:00,2011-11-01 10:27:00,4.833965621238908,2.702278467182896,High-Value Engaged,Protect & Grow,"Customers with very recent purchasing activity, high purchase frequency, and the highest monetary contribution."
12346,326,1,77183.6,1,1,5,115,Lost,2,United Kingdom,2011-01-18 10:01:00,2011-01-18 10:01:00,0.8733383724465786,2.691610714183501,Established Valuable,Nurture,Customers with established repeat purchasing behavior and materially higher monetary contribution than the lower-value groups.
16684,4,28,66653.56,5,4,5,545,Champions,3,United Kingdom,2010-12-16 17:34:00,2011-12-05 14:06:00,4.82047473273363,1.0109220941792123,High-Value Engaged,Protect & Grow,"Customers with very recent purchasing activity, high purchase frequency, and the highest monetary contribution."
14096,4,17,65164.79,5,4,5,545,Champions,3,United Kingdom,2011-08-30 10:49:00,2011-12-05 17:17:00,4.378214148595991,0.8202622681601256,High-Value Engaged,Protect & Grow,"Customers with very recent purchasing activity, high purchase frequency, and the highest monetary contribution."
13694,4,50,65039.62,5,4,5,545,Champions,3,United Kingdom,2010-12-01 12:12:00,2011-12-06 09:32:00,5.319673458441827,1.2179387157328956,High-Value Engaged,Protect & Grow,"Customers with very recent purchasing activity, high purchase frequency, and the highest monetary contribution."
15311,1,91,60632.75,5,4,5,545,Champions,3,United Kingdom,2010-12-01 09:41:00,2011-12-09 12:00:00,6.170262207017482,0.8371889229394646,High-Value Engaged,Protect & Grow,"Customers with very recent purchasing activity, high purchase frequency, and the highest monetary contribution."
13089,3,97,58762.08,5,4,5,545,Champions,3,United Kingdom,2010-12-05 10:27:00,2011-12-07 09:02:00,5.947790448670779,1.2893535767312791,High-Value Engaged,Protect & Grow,"Customers with very recent purchasing activity, high purchase frequency, and the highest monetary contribution."
17949,1,45,58510.48,5,4,5,545,Champions,3,United Kingdom,2010-12-03 13:12:00,2011-12-08 18:46:00,5.52616684865469,0.5590703092513343,High-Value Engaged,Protect & Grow,"Customers with very recent purchasing activity, high purchase frequency, and the highest monetary contribution."
15769,7,26,56252.72,5,4,5,545,Champions,3,United Kingdom,2010-12-03 15:16:00,2011-12-02 13:52:00,4.49583275735033,1.219752068380366,High-Value Engaged,Protect & Grow,"Customers with very recent purchasing activity, high purchase frequency, and the highest monetary contribution."
15061,4,48,54534.14,5,4,5,545,Champions,3,United Kingdom,2010-12-02 15:19:00,2011-12-06 12:06:00,5.199943757593241,1.1384752029303935,High-Value Engaged,Protect & Grow,"Customers with very recent purchasing activity, high purchase frequency, and the highest monetary contribution."
14298,8,44,51527.3,5,4,5,545,Champions,3,United Kingdom,2010-12-14 12:59:00,2011-12-01 13:12:00,4.871463147777465,1.457864204566092,High-Value Engaged,Protect & Grow,"Customers with very recent purchasing activity, high purchase frequency, and the highest monetary contribution."
14088,10,13,50491.81,5,4,5,545,Champions,3,United Kingdom,2011-01-21 13:07:00,2011-11-29 16:16:00,3.728661568066458,1.1310510922728123,High-Value Engaged,Protect & Grow,"Customers with very recent purchasing activity, high purchase frequency, and the highest monetary contribution."
15749,235,3,44534.3,1,2,5,125,Lost,2,United Kingdom,2011-01-11 12:55:00,2011-04-18 13:20:00,1.3643739794619714,2.5497262921741024,Established Valuable,Nurture,Customers with established repeat purchasing behavior and materially higher monetary contribution than the lower-value groups.
