customerid,recency,frequency,monetary,R_score,F_score,M_score,RFM_score,segment,cluster_id,country,first_purchase_date,last_purchase_date,PCA1,PCA2
14646,2,73,280206.02,5,4,5,545,Champions,3,Netherlands,2010-12-20 10:09:00,2011-12-08 12:12:00,6.544144884538449,1.568423427169958
18102,1,60,259657.3,5,4,5,545,Champions,3,United Kingdom,2010-12-07 16:42:00,2011-12-09 11:50:00,6.4881078400379035,1.2097464983969854
17450,8,46,194390.79,5,4,5,545,Champions,3,United Kingdom,2010-12-07 09:23:00,2011-12-01 13:29:00,5.540368556722589,1.9580683722313825
16446,1,2,168472.5,5,1,5,515,Recent Customers,3,United Kingdom,2011-05-18 09:52:00,2011-12-09 09:15:00,3.557315938127811,-0.10005349772342227
14911,1,201,143711.17,5,4,5,545,Champions,3,EIRE,2010-12-01 14:05:00,2011-12-08 15:54:00,7.291094114977411,1.452326762874372
12415,24,21,124914.53,4,4,5,445,Champions,3,Australia,2011-01-06 11:12:00,2011-11-15 14:22:00,4.2535256532742505,2.1542921002106183
14156,10,55,117210.08,5,4,5,545,Champions,3,EIRE,2010-12-03 11:48:00,2011-11-30 10:54:00,5.382373149887797,1.9680490716934245
17511,3,31,91062.38,5,4,5,545,Champions,3,United Kingdom,2010-12-01 10:19:00,2011-12-07 10:12:00,5.142741544308017,1.0207621618006397
16029,39,63,80850.84,3,4,5,345,Loyal Customers,3,United Kingdom,2010-12-01 09:57:00,2011-11-01 10:27:00,4.8339656212389075,2.702278467182896
12346,326,1,77183.6,1,1,5,115,Lost,2,United Kingdom,2011-01-18 10:01:00,2011-01-18 10:01:00,0.8733383724465786,2.691610714183501
16684,4,28,66653.56,5,4,5,545,Champions,3,United Kingdom,2010-12-16 17:34:00,2011-12-05 14:06:00,4.82047473273363,1.0109220941792123
14096,4,17,65164.79,5,4,5,545,Champions,3,United Kingdom,2011-08-30 10:49:00,2011-12-05 17:17:00,4.378214148595991,0.8202622681601256
13694,4,50,65039.62,5,4,5,545,Champions,3,United Kingdom,2010-12-01 12:12:00,2011-12-06 09:32:00,5.319673458441827,1.2179387157328956
15311,1,91,60632.75,5,4,5,545,Champions,3,United Kingdom,2010-12-01 09:41:00,2011-12-09 12:00:00,6.170262207017482,0.8371889229394646
13089,3,97,58762.08,5,4,5,545,Champions,3,United Kingdom,2010-12-05 10:27:00,2011-12-07 09:02:00,5.947790448670779,1.2893535767312791
17949,1,45,58510.48,5,4,5,545,Champions,3,United Kingdom,2010-12-03 13:12:00,2011-12-08 18:46:00,5.52616684865469,0.5590703092513343
15769,7,26,56252.72,5,4,5,545,Champions,3,United Kingdom,2010-12-03 15:16:00,2011-12-02 13:52:00,4.49583275735033,1.219752068380366
15061,4,48,54534.14,5,4,5,545,Champions,3,United Kingdom,2010-12-02 15:19:00,2011-12-06 12:06:00,5.199943757593241,1.1384752029303937
14298,8,44,51527.3,5,4,5,545,Champions,3,United Kingdom,2010-12-14 12:59:00,2011-12-01 13:12:00,4.871463147777465,1.457864204566092
14088,10,13,50491.81,5,4,5,545,Champions,3,United Kingdom,2011-01-21 13:07:00,2011-11-29 16:16:00,3.728661568066458,1.1310510922728123
15749,235,3,44534.3,1,2,5,125,Lost,2,United Kingdom,2011-01-11 12:55:00,2011-04-18 13:20:00,1.3643739794619714,2.5497262921741024
12931,22,15,42055.96,4,4,5,445,Champions,3,United Kingdom,2010-12-17 09:45:00,2011-11-18 12:39:00,3.481049077916124,1.5831411768051455
17841,2,124,40519.84,5,4,5,545,Champions,3,United Kingdom,2010-12-01 14:41:00,2011-12-08 12:07:00,6.101636584092738,1.0646925613592775
15098,182,3,39916.5,1,2,5,125,Lost,2,United Kingdom,2011-06-10 15:22:00,2011-06-10 15:33:00,1.4096289775953381,2.348618990122583
13798,1,57,37153.85,5,4,5,545,Champions,3,United Kingdom,2010-12-02 17:24:00,2011-12-08 15:51:00,5.5205874484005495,0.48234339469883275
16013,4,47,37130.6,5,4,5,545,Champions,3,United Kingdom,2010-12-03 13:09:00,2011-12-06 10:36:00,4.999031723440909,0.9905961959610029
16422,17,51,34684.4,4,4,5,445,Champions,3,United Kingdom,2010-12-05 15:35:00,2011-11-22 14:00:00,4.549831604100816,1.8084237051772813
15838,11,19,33643.08,5,4,5,545,Champions,3,United Kingdom,2010-12-07 11:26:00,2011-11-28 14:00:00,3.82566038858767,1.1747812371647606
12748,1,209,33053.19,5,4,5,545,Champions,3,United Kingdom,2010-12-01 12:48:00,2011-12-09 12:20:00,6.629389339935984,0.9319257637441387
17404,4,15,31906.82,5,4,5,545,Champions,3,Sweden,2010-12-14 13:28:00,2011-12-05 16:26:00,3.933050210188491,0.5151356417505519
17389,1,34,31833.68,5,4,5,545,Champions,3,United Kingdom,2011-01-12 15:48:00,2011-12-09 09:38:00,4.990271677197168,0.23285117479316267
13098,1,28,28882.44,5,4,5,545,Champions,3,United Kingdom,2011-01-26 13:46:00,2011-12-08 14:14:00,4.773980986088823,0.12548483102163738
14680,25,16,28754.11,4,4,5,445,Champions,3,United Kingdom,2010-12-03 12:05:00,2011-11-14 16:59:00,3.308793688272603,1.5455794057968744
13081,12,11,28337.38,5,4,5,545,Champions,3,United Kingdom,2010-12-03 17:20:00,2011-11-28 10:54:00,3.251483478907744,0.9676175320367311
13408,2,62,28117.04,5,4,5,545,Champions,3,United Kingdom,2010-12-01 10:39:00,2011-12-08 09:05:00,5.30838602080958,0.669515964117258
17857,4,23,26879.04,5,4,5,545,Champions,3,United Kingdom,2010-12-09 11:35:00,2011-12-05 13:13:00,4.218637665546382,0.6077849941406674
16333,8,22,26626.8,5,4,5,545,Champions,3,United Kingdom,2011-02-03 10:50:00,2011-12-02 12:19:00,3.9511233570663595,0.9606903645753708
13777,1,33,25977.16,5,4,5,545,Champions,3,United Kingdom,2010-12-01 16:01:00,2011-12-09 12:25:00,4.867646125695704,0.14772010694451335
12753,23,6,21429.39,4,3,5,435,Loyal Customers,3,Japan,2010-12-12 11:44:00,2011-11-17 10:52:00,2.3970794987982815,1.0483483983126898
12744,52,7,21279.29,3,4,5,345,Loyal Customers,3,Singapore,2011-01-25 13:26:00,2011-10-19 11:18:00,2.2119407710517462,1.5990950594839077
16210,2,18,21086.3,5,4,5,545,Champions,3,United Kingdom,2010-12-01 12:27:00,2011-12-08 12:36:00,4.0872993407116756,0.10619486893536619
17675,1,31,20374.28,5,4,5,545,Champions,3,United Kingdom,2010-12-07 13:22:00,2011-12-08 18:03:00,4.697600868988294,0.036052462503854514
17381,9,29,20275.61,5,4,5,545,Champions,3,United Kingdom,2010-12-02 12:58:00,2011-12-01 11:59:00,4.022098674351829,1.0298776660208144
12471,2,30,19788.65,5,4,5,545,Champions,3,Germany,2010-12-10 09:35:00,2011-12-07 15:43:00,4.500157896332591,0.2703254328735631
15039,10,47,19766.59,5,4,5,545,Champions,3,United Kingdom,2010-12-06 11:26:00,2011-11-30 11:31:00,4.398923243180368,1.2608242518391386
12731,24,12,18895.91,4,4,5,445,Champions,3,France,2010-12-10 10:56:00,2011-11-16 11:59:00,2.881975717874051,1.2652005295092332
15159,2,30,18641.01,5,4,5,545,Champions,3,United Kingdom,2010-12-13 15:44:00,2011-12-08 12:05:00,4.471831161557884,0.24856734429981237
12901,9,28,17654.54,5,4,5,545,Champions,3,United Kingdom,2011-03-14 10:41:00,2011-12-01 10:07:00,3.925790635184376,0.9664970798125163
12678,42,12,17628.46,3,4,5,345,Loyal Customers,3,France,2010-12-21 11:00:00,2011-10-28 13:04:00,2.6418897000704296,1.5837137309525176
14031,7,19,17286.86,5,4,5,545,Champions,3,United Kingdom,2010-12-02 16:34:00,2011-12-02 17:13:00,3.664839025900948,0.6752432596022703
17428,1,28,17256.85,5,4,5,545,Champions,3,United Kingdom,2010-12-06 09:37:00,2011-12-09 09:45:00,4.529790253071918,-0.06208086054600347
13767,2,37,17220.36,5,4,5,545,Champions,3,United Kingdom,2010-12-01 10:47:00,2011-12-07 15:00:00,4.618474939579982,0.2975785254055714
13881,4,20,17159.52,5,4,5,545,Champions,3,United Kingdom,2011-02-01 10:14:00,2011-12-06 12:50:00,3.88502229673601,0.3932616846933919
16839,9,34,16594.35,5,4,5,545,Champions,3,United Kingdom,2010-12-05 11:15:00,2011-12-01 09:03:00,4.066588686648609,1.0158766646756512
12921,9,37,16587.09,5,4,5,545,Champions,3,United Kingdom,2010-12-01 15:06:00,2011-11-30 16:22:00,4.140795255034628,1.0471749978688336
17677,2,30,16345.38,5,4,5,545,Champions,3,United Kingdom,2010-12-06 08:42:00,2011-12-08 09:56:00,4.409521824831967,0.20070683096367056
15189,1,41,16225.39,5,4,5,545,Champions,3,United Kingdom,2011-01-11 12:29:00,2011-12-08 13:22:00,4.835705684566439,0.05714918092103712
14607,16,14,16209.5,4,4,5,445,Champions,3,United Kingdom,2011-03-23 15:22:00,2011-11-24 10:35:00,3.086077729095933,1.0196073319438592
15856,4,27,16143.64,5,4,5,545,Champions,3,United Kingdom,2010-12-09 13:34:00,2011-12-05 17:09:00,4.116400037059207,0.4810808157514113
14051,1,23,15610.39,5,4,5,545,Champions,3,United Kingdom,2010-12-08 12:49:00,2011-12-09 10:20:00,4.311010717139031,-0.17098709493190367
15513,33,19,14758.22,4,4,5,445,Champions,3,United Kingdom,2010-12-01 11:22:00,2011-11-06 14:36:00,3.0371375405173566,1.5349031210469268
16133,4,33,14589.04,5,4,5,545,Champions,3,United Kingdom,2011-01-25 15:55:00,2011-12-06 11:24:00,4.244076455253251,0.5184740049006391
14866,11,12,14389.9,5,4,5,545,Champions,3,United Kingdom,2010-12-08 14:58:00,2011-11-29 11:45:00,3.0331893863750987,0.7007010184203248
16705,1,20,14034.99,5,4,5,545,Champions,3,United Kingdom,2010-12-16 10:51:00,2011-12-09 12:08:00,4.139744588315395,-0.2608080985325246
12681,15,22,13787.54,4,4,5,445,Champions,3,France,2010-12-07 10:08:00,2011-11-25 11:33:00,3.419285108790559,1.085744950068443
12621,2,20,13689.67,5,4,5,545,Champions,3,Germany,2010-12-09 10:16:00,2011-12-08 11:25:00,3.9730464329720827,-0.012841604221002919
12540,20,17,13400.24,4,4,5,445,Champions,3,Spain,2010-12-13 09:39:00,2011-11-20 11:31:00,3.0800962695775445,1.1539929202362558
12433,1,7,13375.87,5,4,5,545,Champions,3,Norway,2010-12-01 13:24:00,2011-12-09 10:02:00,3.2436748061913887,-0.6474879774841545
15498,3,27,13316.4,5,4,5,545,Champions,3,United Kingdom,2010-12-08 12:29:00,2011-12-07 12:48:00,4.110357585788498,0.2695067161446224
12477,23,6,13219.74,4,3,5,435,Loyal Customers,3,Germany,2011-02-11 12:45:00,2011-11-17 09:51:00,2.168051363744612,0.8724292714520696
17735,2,19,13110.02,5,4,5,545,Champions,3,United Kingdom,2010-12-07 10:32:00,2011-12-07 16:47:00,3.9083854470829764,-0.04726082333599572
16525,2,26,13027.45,5,4,5,545,Champions,3,United Kingdom,2010-12-08 11:31:00,2011-12-07 15:07:00,4.176942814660676,0.0652341893039857
14258,9,9,12669.98,5,4,5,545,Champions,3,United Kingdom,2011-01-06 12:18:00,2011-11-30 15:27:00,2.805081343416387,0.43840477487520435
13078,3,26,12627.94,5,4,5,545,Champions,3,United Kingdom,2010-12-08 09:07:00,2011-12-06 15:36:00,4.0522815366642915,0.23626324734500867
12536,43,3,12601.83,3,2,5,325,Need Attention,2,France,2011-10-11 14:52:00,2011-10-27 14:20:00,1.407438571591886,1.0251836263977634
15640,4,15,12416.11,5,4,5,545,Champions,3,United Kingdom,2010-12-02 15:40:00,2011-12-05 14:35:00,3.485553687036085,0.17140845029572505
16000,3,3,12393.7,5,2,5,525,Potential Loyalists,3,United Kingdom,2011-12-07 12:14:00,2011-12-07 12:17:00,2.3155339344839683,-0.5009931333202287
17340,30,11,12353.29,4,4,5,445,Champions,3,United Kingdom,2010-12-08 15:56:00,2011-11-10 10:45:00,2.525862316870835,1.2161644127868991
12682,4,31,12279.82,5,4,5,545,Champions,3,France,2010-12-03 13:59:00,2011-12-06 10:00:00,4.107522406062142,0.43253133954342293
13113,1,24,12245.96,5,4,5,545,Champions,3,United Kingdom,2010-12-08 13:21:00,2011-12-09 12:49:00,4.232860470392794,-0.24377264825747597
14606,1,93,12076.15,5,4,5,545,Champions,3,United Kingdom,2010-12-01 16:57:00,2011-12-08 19:28:00,5.424655064061572,0.25775856277325004
12557,16,5,11990.96,4,3,5,435,Loyal Customers,3,Spain,2010-12-03 12:20:00,2011-11-23 16:59:00,2.114040753967693,0.559328561419126
12939,64,8,11581.8,3,4,5,345,Loyal Customers,3,United Kingdom,2011-01-09 11:20:00,2011-10-06 14:33:00,1.952144136468929,1.5520018411353345
15125,25,15,11528.48,4,4,5,445,Champions,3,United Kingdom,2011-03-14 09:59:00,2011-11-14 13:57:00,2.820602155188114,1.1895399720950488
14194,5,21,11349.52,5,4,5,545,Champions,3,United Kingdom,2011-02-04 14:51:00,2011-12-05 10:38:00,3.661478796140311,0.37609362719572687
12971,4,86,11189.91,5,4,5,545,Champions,3,United Kingdom,2010-12-02 16:42:00,2011-12-06 12:20:00,4.968472659379975,0.7812689688398649
14895,8,20,11138.71,5,4,5,545,Champions,3,United Kingdom,2011-02-22 13:08:00,2011-12-02 09:23:00,3.4556086261239187,0.6085098185345228
12409,79,3,11072.67,2,2,5,225,Hibernating,2,Switzerland,2011-06-10 12:19:00,2011-09-22 10:38:00,1.117733453350856,1.3570637035845987
17581,1,25,11025.24,5,4,5,545,Champions,3,United Kingdom,2010-12-02 14:47:00,2011-12-09 12:21:00,4.218563496552987,-0.2670113499430481
15482,16,12,10879.76,4,4,5,445,Champions,3,United Kingdom,2010-12-16 10:08:00,2011-11-24 10:46:00,2.7675630445700237,0.8196736206510556
13319,5,26,10845.55,5,4,5,545,Champions,3,United Kingdom,2010-12-09 10:04:00,2011-12-04 13:34:00,3.8252547761856093,0.4378906508821742
17107,33,6,10797.48,4,3,5,435,Loyal Customers,3,United Kingdom,2011-03-06 15:17:00,2011-11-06 14:14:00,1.9390386244270936,1.0195252000126573
13340,45,7,10736.48,3,4,5,345,Loyal Customers,3,United Kingdom,2011-03-08 11:39:00,2011-10-25 13:15:00,1.9417092058811152,1.2601670867243024
17139,16,12,10650.77,4,4,5,445,Champions,3,United Kingdom,2011-02-24 09:32:00,2011-11-24 10:12:00,2.7574777480580575,0.8119269891898171
